Plant_Name,Nutrient_Requirement (mg/L),Hormone_Requirement (mg/L),Temperature (°C),pH_Level,Light_Intensity (lux),Contamination_Sensitivity,Recommended_Media
Orchid,163.86,3.68,23.14,7.08,3250.18,Low,Nitsch
Fern,60.11,0.95,21.22,5.82,2213.38,Low,Nitsch
Cactus,124.08,2.42,26.54,6.22,1675.44,Medium,Nitsch
Orchid,336.09,1.23,20.54,6.26,4120.7,Medium,White
Tomato,158.51,1.05,27.69,6.07,1544.48,Low,Gamborg
Apple,30.21,0.55,27.61,6.75,2578.08,Medium,White
Apple,36.32,0.89,26.58,6.04,2496.81,Low,Murashige & Skoog
Apple,32.73,0.85,25.56,7.36,1817.85,Low,White
Apple,26.98,0.56,22.93,7.03,2471.04,High,White
Wheat,74.86,0.55,28.41,7.3,1110.31,Medium,Nitsch
Fern,18.47,0.96,24.33,6.77,1596.08,Medium,Nitsch
Bamboo,160.14,1.24,25.8,6.69,2411.32,Low,White
Mango,29.99,0.84,24.13,6.11,2887.99,Low,Gamborg
Rose,399.27,4.55,27.16,5.94,3462.63,Medium,Murashige & Skoog
Cactus,95.69,0.85,26.8,5.78,2828.88,Low,Murashige & Skoog
Wheat,26.91,0.66,20.05,5.53,1626.36,High,Murashige & Skoog
Fern,52.56,0.14,24.58,5.13,2852.56,High,Murashige & Skoog
Mango,70.88,0.18,25.94,5.87,2362.1,Low,Murashige & Skoog
Rose,370.35,4.0,22.33,6.51,3651.16,High,Murashige & Skoog
Cactus,150.1,0.59,19.9,6.56,1112.67,Medium,Nitsch
Tulip,50.5,0.4,21.57,5.66,1329.44,Low,Nitsch
Orchid,195.88,3.37,16.08,5.37,3146.49,Low,Nitsch
Mango,77.72,0.78,25.74,6.67,1953.98,High,White
Cactus,125.05,1.22,19.16,6.61,2385.6,Low,Nitsch
Mango,57.5,0.57,23.67,6.87,2929.38,Low,Murashige & Skoog
Wheat,93.66,0.26,23.69,6.39,2479.24,Medium,B5
Orchid,286.25,3.88,23.54,6.85,3283.04,High,Gamborg
Bamboo,137.36,0.75,21.93,7.11,2795.12,Low,Nitsch
Bamboo,156.69,0.7,15.5,6.4,2389.66,High,Nitsch
Bamboo,101.03,0.51,22.19,5.04,1183.97,Low,Nitsch
Wheat,31.34,0.5,16.09,7.39,1446.51,Medium,B5
Tomato,133.11,2.36,15.08,6.87,2806.1,Medium,Nitsch
Wheat,48.21,0.94,23.14,6.32,1282.25,Low,B5
Rose,126.27,3.54,28.72,5.52,4330.55,Medium,Nitsch
Cactus,70.02,2.11,29.85,5.94,1889.51,Low,B5
Tulip,69.61,0.24,25.32,5.32,1850.71,Low,B5
Fern,96.52,0.64,23.39,5.04,1161.9,Low,Gamborg
Apple,98.43,0.58,26.82,7.1,2296.06,High,White
Fern,32.4,0.39,20.01,5.06,1682.1,High,Gamborg
Tulip,51.0,0.13,28.19,5.03,2889.5,Medium,Gamborg
Fern,55.03,0.71,20.88,5.66,2909.28,Medium,Gamborg
Bamboo,80.51,0.79,27.84,6.7,1373.16,Low,White
Apple,70.35,0.39,20.72,7.48,1495.23,Medium,Nitsch
Tomato,85.88,1.33,24.23,6.2,1919.0,High,White
Rose,382.16,4.62,23.5,5.89,3762.29,High,Murashige & Skoog
Wheat,75.48,0.51,27.85,7.36,1671.89,Low,Nitsch
Apple,46.47,0.21,27.2,5.09,2056.45,High,Murashige & Skoog
Tomato,140.85,1.88,20.75,7.17,2136.64,Medium,Nitsch
Tomato,69.76,1.86,27.64,5.57,2732.85,Medium,White
Bamboo,67.75,1.79,18.75,7.09,2024.6,Low,B5
Tulip,46.95,0.31,17.05,5.49,1110.66,Medium,White
Mango,66.45,0.38,29.6,5.48,1691.66,High,Murashige & Skoog
Wheat,63.97,0.8,26.24,5.82,2221.72,High,White
Rose,230.72,1.9,20.83,6.04,4493.34,Medium,Gamborg
Orchid,253.78,3.26,22.41,6.83,3767.58,Medium,Gamborg
Cactus,110.02,0.8,22.55,7.0,1883.07,Medium,Nitsch
Tomato,177.32,1.91,22.36,5.64,2769.85,Medium,Nitsch
Orchid,166.34,2.08,27.05,5.11,4984.18,Low,Nitsch
Mango,47.16,0.58,15.74,5.01,1489.6,Low,B5
Wheat,52.55,0.68,16.62,6.09,2943.9,Medium,Nitsch
Wheat,94.64,0.33,27.8,7.16,2545.05,Low,Nitsch
Bamboo,165.39,1.69,20.06,5.66,1243.78,High,Nitsch
Fern,90.0,0.14,23.45,6.62,1419.07,Low,Murashige & Skoog
Mango,22.68,0.66,25.93,7.33,1557.74,High,B5
Mango,80.63,0.84,28.71,7.2,2999.48,High,B5
Wheat,62.78,0.34,29.73,7.24,1257.03,High,White
Tulip,94.22,0.31,16.27,5.65,1037.86,Medium,Gamborg
Wheat,23.84,0.93,26.36,6.83,2418.36,High,White
Tomato,153.24,0.94,21.58,6.96,2567.91,High,Nitsch
Fern,69.38,0.22,25.3,7.28,2217.17,Medium,Murashige & Skoog
Rose,181.95,1.84,21.83,7.27,3208.96,Medium,Nitsch
Rose,306.18,1.38,28.84,6.42,3727.45,Low,B5
Mango,70.66,0.15,25.09,7.11,1797.64,Medium,B5
Fern,65.6,0.51,28.41,6.24,2683.62,Medium,White
Apple,30.71,0.47,27.39,5.57,2048.87,Medium,Gamborg
Rose,213.46,4.18,28.12,7.13,4554.41,High,Gamborg
Fern,41.18,0.98,29.7,5.67,1081.96,High,Gamborg
Orchid,130.23,3.83,15.47,7.18,3277.31,Low,Nitsch
Tomato,76.35,2.42,25.4,7.0,1795.27,Medium,Nitsch
Cactus,122.1,1.6,24.48,5.64,2897.31,High,Nitsch
Cactus,194.85,0.53,22.22,5.83,1898.25,Medium,Nitsch
Wheat,49.2,0.47,25.99,6.71,2666.54,Medium,B5
Rose,319.12,3.13,28.97,7.38,3722.93,Low,Murashige & Skoog
Rose,131.65,3.73,24.91,7.38,4459.36,Medium,Nitsch
Bamboo,85.96,1.25,18.46,6.4,1268.98,Low,Gamborg
Bamboo,111.38,2.0,16.7,5.62,2614.69,Medium,Nitsch
Apple,14.27,0.82,24.07,5.5,1989.66,Medium,B5
Cactus,152.72,0.75,26.8,5.05,1965.46,High,B5
Wheat,38.15,0.84,23.92,6.98,2978.68,Low,Gamborg
Wheat,68.94,0.35,15.0,5.32,2867.23,Low,Nitsch
Tomato,128.03,1.63,23.42,6.19,2581.21,Medium,Nitsch
Cactus,96.59,1.73,25.36,6.01,2750.74,Low,B5
Tomato,55.43,1.6,25.63,5.29,1610.87,High,Murashige & Skoog
Tomato,150.83,0.89,28.43,5.26,2413.1,High,B5
Rose,215.49,2.61,26.75,7.41,3253.31,High,Gamborg
Orchid,244.28,2.51,20.45,5.13,4371.08,High,Gamborg
Orchid,344.81,4.21,22.3,5.75,4276.19,Medium,Murashige & Skoog
Orchid,170.8,3.92,15.6,5.24,3013.58,Low,Nitsch
Tomato,83.57,1.18,29.86,6.31,1409.43,Low,B5
Tulip,11.78,0.22,25.43,5.3,1461.47,Medium,White
Mango,61.03,0.72,15.04,7.33,1221.84,Medium,White
Tulip,32.96,0.21,15.88,5.76,1315.32,High,White
Orchid,210.1,1.42,25.33,7.45,4453.21,Low,Gamborg
Tulip,82.39,0.25,18.74,5.85,1336.52,Low,B5
Fern,48.1,0.1,19.7,6.32,1648.5,Medium,White
Cactus,65.26,0.6,15.08,5.82,2320.77,Medium,White
Fern,71.59,0.42,25.02,5.1,1781.51,High,Nitsch
Rose,161.27,1.99,29.94,5.26,3361.33,High,Murashige & Skoog
Mango,81.42,0.18,17.75,6.9,1043.97,High,B5
Wheat,64.43,0.53,27.23,5.16,2630.98,High,White
Tulip,89.71,0.68,17.45,5.08,1282.22,Low,Murashige & Skoog
Rose,200.67,4.9,28.1,5.82,4175.59,High,Gamborg
Tulip,70.51,0.91,21.71,6.09,2569.07,Low,White
Tulip,65.59,0.68,15.43,7.07,2576.55,Low,White
Orchid,160.34,1.71,20.07,6.05,4017.08,Medium,Nitsch
Rose,291.99,4.44,29.19,7.32,3762.83,Low,Gamborg
Tulip,87.2,0.55,16.96,6.74,1412.15,Medium,White
Cactus,173.8,0.75,28.55,7.16,1929.17,Medium,White
Cactus,114.77,2.07,21.94,7.35,1972.74,Medium,Nitsch
Cactus,167.76,2.14,23.32,5.45,1935.52,Low,Nitsch
Orchid,325.9,4.24,15.49,6.17,4293.24,Medium,Murashige & Skoog
Bamboo,177.87,1.6,17.96,5.79,1563.86,Low,Nitsch
Fern,57.5,1.0,27.65,5.9,1020.69,Low,White
Bamboo,164.54,1.39,26.85,6.55,1226.2,Low,White
Bamboo,153.39,1.72,23.07,6.17,1587.52,High,Nitsch
Mango,61.8,0.48,22.72,5.43,2325.81,Low,Nitsch
Fern,97.8,0.4,23.93,5.23,2212.03,Medium,Gamborg
Tomato,157.35,2.08,25.56,6.47,1899.83,High,White
Cactus,97.55,2.2,27.69,5.89,2665.0,Medium,White
Cactus,59.97,0.5,22.85,5.86,2994.26,High,Gamborg
Tulip,14.32,0.8,23.56,6.9,1299.73,Low,Nitsch
Tulip,11.04,0.22,19.64,5.29,2971.72,Low,White
Fern,62.89,0.16,27.94,7.4,1493.49,High,Nitsch
Bamboo,112.09,1.04,18.1,6.64,1832.43,Low,Nitsch
Orchid,269.52,4.43,16.76,6.96,4347.03,Low,Gamborg
Tomato,116.23,2.39,17.12,6.61,1763.96,Low,Nitsch
Mango,76.86,0.72,26.38,6.33,2277.45,Low,White
Wheat,37.8,0.65,29.46,5.24,1045.1,Low,Gamborg
Tulip,57.03,0.8,17.33,5.98,1980.01,Low,Nitsch
Cactus,63.72,1.53,18.47,5.45,2620.61,Low,White
Orchid,393.4,4.98,23.33,5.43,3632.21,High,Murashige & Skoog
Fern,93.43,0.7,25.36,6.97,1232.7,Medium,White
Orchid,155.66,3.61,25.69,6.72,3638.63,Low,Murashige & Skoog
Cactus,188.49,1.41,27.69,6.13,1848.78,Low,White
Fern,19.7,0.54,25.46,6.32,1783.35,Low,Murashige & Skoog
Wheat,18.54,0.45,21.1,6.44,1304.35,Low,Nitsch
Cactus,120.61,2.26,23.79,6.69,2608.52,High,Nitsch
Mango,45.82,0.56,27.05,5.93,1776.24,High,White
Orchid,223.96,2.62,25.19,5.17,4187.41,High,Gamborg
Wheat,84.54,0.25,28.46,6.64,2763.71,High,Gamborg
Wheat,17.13,0.54,19.72,5.51,2905.28,Low,Nitsch
Rose,184.21,5.0,19.02,5.82,4318.66,Low,Nitsch
Bamboo,82.37,0.82,19.69,5.26,1037.29,Low,B5
Apple,81.78,0.58,19.65,5.36,2473.61,High,White
Cactus,59.94,1.23,21.04,5.0,1994.18,Medium,B5
Mango,50.64,0.47,25.31,5.62,2280.5,Low,White
Cactus,198.97,0.71,18.5,7.38,2916.66,High,Nitsch
Cactus,65.33,2.19,23.74,7.47,2272.86,Medium,White
Apple,87.61,0.36,25.3,6.69,1442.99,Low,White
Tomato,171.35,2.1,21.86,6.52,2208.52,High,Nitsch
Mango,48.25,0.35,18.98,6.34,1898.3,Low,Murashige & Skoog
Tulip,29.24,0.28,21.19,5.57,2167.72,Medium,Murashige & Skoog
Bamboo,130.58,0.91,17.34,7.2,1867.45,Medium,Nitsch
Tomato,55.34,1.5,23.31,6.4,2414.06,High,B5
Tomato,192.08,0.77,22.46,5.54,1120.15,High,Nitsch
Tulip,63.45,0.23,20.98,7.26,2997.8,High,Gamborg
Orchid,201.08,3.34,19.73,5.22,3445.9,Medium,Gamborg
Orchid,228.41,3.63,18.96,5.03,4037.87,Low,Gamborg
Tulip,96.66,0.63,22.07,6.43,2855.8,Medium,Murashige & Skoog
Orchid,178.79,3.02,26.16,6.26,3135.59,Low,B5
Rose,299.24,2.71,28.34,7.11,4050.86,Low,Gamborg
Cactus,185.1,2.15,25.24,6.75,2453.34,Medium,Nitsch
Tomato,110.57,0.93,20.34,5.71,1352.18,Medium,Nitsch
Mango,50.88,0.45,29.73,5.98,1159.96,Low,White
Tomato,112.81,1.36,15.81,6.29,2009.48,High,Nitsch
Cactus,68.54,0.7,24.15,5.49,1502.86,Medium,Nitsch
Fern,86.92,0.31,19.91,5.52,1983.75,High,White
Apple,32.4,0.63,16.05,5.07,1522.06,Low,Murashige & Skoog
Cactus,176.97,1.48,15.56,6.34,2409.59,Medium,Nitsch
Cactus,84.6,2.05,20.08,5.36,2715.78,Medium,White
Tomato,117.84,0.53,16.76,5.46,1227.17,Medium,Nitsch
Cactus,194.69,1.52,24.41,5.89,1646.98,Medium,Nitsch
Bamboo,126.02,0.75,22.15,6.91,1516.53,High,Nitsch
Rose,265.65,4.01,19.23,5.55,4043.87,Medium,Gamborg
Wheat,46.18,0.86,20.19,6.64,2418.63,Low,Nitsch
Wheat,61.93,0.41,16.26,7.48,1254.36,High,B5
Fern,85.77,0.63,15.92,6.64,1016.53,Medium,White
Wheat,37.79,0.36,26.97,6.96,1704.6,Low,B5
Bamboo,86.29,2.25,15.29,6.83,2866.23,Medium,Murashige & Skoog
Cactus,59.19,1.55,22.45,5.36,2840.54,Medium,White
Tomato,141.19,0.71,21.81,5.6,2671.13,Medium,Nitsch
Fern,84.18,0.75,27.49,5.5,1904.09,Low,B5
Tomato,157.45,0.95,16.48,7.29,2120.34,High,Nitsch
Tulip,92.34,0.25,27.26,7.33,2876.72,Low,Nitsch
Tulip,10.65,0.15,21.43,6.0,1369.43,Medium,B5
Mango,54.45,0.11,17.1,5.81,2157.17,High,White
Wheat,39.26,0.24,20.08,5.05,1727.12,High,White
Mango,20.04,0.23,21.42,5.49,1055.7,Medium,B5
Mango,84.76,0.23,29.62,6.51,2469.97,Low,Gamborg
Cactus,147.95,1.5,25.82,5.01,2184.88,Low,Nitsch
Bamboo,159.07,0.71,18.09,5.37,2593.9,Low,Nitsch
Mango,45.03,0.38,21.94,5.98,2727.15,Medium,White
Wheat,29.36,0.84,29.81,6.39,1556.1,Medium,White
Wheat,10.48,0.61,20.09,5.81,2289.81,Low,B5
Tulip,86.79,0.34,22.79,6.13,1023.29,Low,Murashige & Skoog
Orchid,277.57,3.95,23.57,5.17,3232.89,Low,Gamborg
Orchid,218.19,2.06,17.52,6.73,4290.8,Low,Gamborg
Wheat,43.53,0.34,26.4,6.93,1911.23,High,Nitsch
Tomato,191.39,2.14,23.82,5.63,1407.43,Low,Nitsch
Bamboo,121.49,1.09,22.72,5.41,2955.43,Low,Nitsch
Bamboo,189.79,2.33,22.88,6.81,1872.1,Medium,Nitsch
Fern,40.65,0.37,23.67,6.25,2159.07,Medium,Murashige & Skoog
Apple,69.35,0.92,16.35,6.93,2233.63,Medium,Gamborg
Wheat,71.55,0.82,16.69,6.33,1202.53,High,Murashige & Skoog
Rose,269.29,1.46,29.95,6.06,3696.46,Medium,Gamborg
Tulip,42.75,0.85,21.81,6.8,1214.91,Low,White
Tulip,98.62,0.22,21.45,6.06,1834.11,Low,Gamborg
Fern,45.75,0.61,29.3,6.29,2638.21,High,Gamborg
Rose,351.93,4.99,19.39,5.89,4883.27,High,Murashige & Skoog
Wheat,62.29,0.95,27.18,6.85,2473.99,High,B5
Fern,55.45,0.13,16.98,7.22,2503.36,Low,Gamborg
Fern,69.41,0.85,25.78,6.31,1090.23,Low,Murashige & Skoog
Wheat,77.13,0.82,26.22,6.1,2467.24,Low,White
Fern,98.19,0.3,24.18,6.08,1142.05,Medium,B5
Mango,88.64,0.21,21.77,7.28,2628.6,Medium,Nitsch
Rose,272.92,4.17,19.86,6.79,3270.84,Medium,Gamborg
Mango,23.02,0.83,18.34,6.79,2886.6,Low,Nitsch
Wheat,31.5,0.14,24.36,6.41,1804.26,High,Nitsch
Rose,219.32,2.71,28.2,7.4,4786.0,High,Gamborg
Tulip,62.65,0.72,29.09,5.62,2070.24,High,Nitsch
Tulip,79.89,0.6,24.91,5.81,1962.55,Medium,Nitsch
Tulip,27.85,0.97,22.67,6.83,1822.09,High,Murashige & Skoog
Cactus,111.38,1.59,23.15,6.24,1269.57,Low,Nitsch
Bamboo,75.37,0.75,28.99,6.51,2318.98,Low,B5
Apple,19.74,0.94,20.0,5.55,1993.1,Medium,Murashige & Skoog
Mango,34.39,0.36,19.06,7.14,1063.77,High,Murashige & Skoog
Cactus,140.2,1.59,23.85,7.34,1017.14,High,Nitsch
Orchid,157.45,1.67,17.72,6.68,3918.97,High,Nitsch
Cactus,96.62,2.47,27.48,6.17,2109.19,Medium,Nitsch
Apple,85.35,0.18,26.08,7.4,2357.09,Low,B5
Wheat,21.34,0.89,22.68,6.01,1323.93,High,Gamborg
Tomato,137.45,2.32,29.13,5.16,1804.74,High,Gamborg
Tomato,87.04,2.08,24.52,6.33,1785.05,Low,Nitsch
Fern,50.63,0.55,22.81,6.12,1512.18,Low,B5
Tomato,68.39,2.36,21.81,6.84,1734.35,Medium,Nitsch
Cactus,112.17,0.53,27.62,6.28,1278.32,Medium,B5
Cactus,79.91,1.12,15.64,6.58,1497.07,Low,Gamborg
Tulip,31.8,0.25,26.62,5.32,1907.51,High,Gamborg
Tomato,99.62,0.86,26.48,6.97,2133.13,Low,B5
Rose,192.93,3.09,24.96,5.95,4438.94,Low,Nitsch
Bamboo,93.54,1.58,15.36,5.2,1835.94,Medium,White
Apple,94.13,0.86,24.66,6.52,1934.71,High,Nitsch
Rose,253.61,3.2,23.07,6.41,4897.41,Low,Gamborg
Cactus,181.36,2.1,29.15,5.25,1530.25,High,White
Mango,15.77,0.26,26.48,6.23,2761.34,High,Gamborg
Bamboo,89.73,1.2,25.62,5.92,2110.53,Low,Gamborg
Mango,80.72,0.95,20.34,5.62,2232.43,Medium,White
Rose,238.71,1.3,29.66,7.11,3356.5,Medium,Gamborg
Mango,40.66,0.44,28.6,6.33,1275.53,Low,White
Cactus,138.53,1.89,20.16,6.73,2768.41,Low,Nitsch
Mango,44.46,0.33,24.06,7.2,1649.32,Medium,Gamborg
Tulip,30.56,0.84,19.43,6.76,2026.43,High,Nitsch
Fern,86.89,0.72,22.8,7.08,1838.5,High,B5
Rose,341.67,4.17,23.72,6.95,3383.55,High,Murashige & Skoog
Mango,88.63,0.17,18.7,6.74,1818.9,Medium,White
Bamboo,54.42,0.86,29.8,6.79,2229.28,High,Nitsch
Wheat,92.12,0.34,21.93,6.37,2898.22,Low,Murashige & Skoog
Mango,44.02,0.11,15.14,6.15,1976.67,High,B5
Tomato,94.1,1.62,19.51,5.42,1814.35,Medium,Murashige & Skoog
Cactus,58.14,1.69,16.3,6.75,1105.28,Low,B5
Wheat,52.1,0.16,23.97,5.66,2055.25,Low,White
Mango,59.42,0.62,21.02,7.37,2554.37,High,White
Tulip,15.36,0.35,28.87,5.89,2323.31,Medium,Murashige & Skoog
Fern,75.3,0.31,15.01,6.79,1342.37,Medium,Nitsch
Apple,60.64,0.22,17.26,6.98,2775.12,Medium,Gamborg
Mango,87.35,0.33,20.7,7.18,2326.3,High,B5
Tulip,69.56,0.5,21.7,6.14,1517.36,Medium,Gamborg
Bamboo,92.36,2.17,19.75,6.81,1242.0,Low,Nitsch
Fern,63.45,0.68,20.95,5.19,1747.27,Medium,Gamborg
Mango,24.42,0.11,26.29,5.27,1164.7,Medium,Nitsch
Cactus,104.5,1.5,15.65,5.87,1358.36,High,Nitsch
Cactus,137.58,0.92,16.11,6.16,2231.22,High,Nitsch
Rose,385.16,4.92,23.18,7.38,3358.89,Medium,Murashige & Skoog
Rose,111.82,3.35,15.92,7.4,3283.87,Medium,Nitsch
Orchid,287.13,1.76,22.04,6.8,4058.87,Medium,Gamborg
Bamboo,98.35,1.72,29.09,6.68,1149.49,Low,Nitsch
Rose,396.66,4.8,16.17,7.33,3726.27,High,Murashige & Skoog
Orchid,232.26,3.54,26.62,5.08,4186.31,High,Gamborg
Bamboo,101.89,1.2,22.04,5.84,1214.72,High,Nitsch
Wheat,13.01,0.52,29.32,5.29,2892.53,Medium,B5
Rose,174.54,3.57,19.13,6.27,4572.59,Medium,Nitsch
Bamboo,60.84,1.88,23.01,5.95,1680.55,Low,B5
Tulip,85.89,0.54,19.67,7.18,1311.76,Low,Nitsch
Fern,40.35,0.75,26.14,5.13,1442.25,Low,Gamborg
Apple,11.28,0.24,21.32,5.17,2021.48,Medium,White
Tulip,50.14,0.3,25.9,6.77,1306.59,Medium,B5
Cactus,101.47,0.98,20.98,5.05,2545.0,Low,Nitsch
Fern,13.95,0.69,26.61,7.03,1987.02,Medium,B5
Mango,72.97,0.32,28.55,5.26,2965.38,Low,White
Fern,24.87,0.93,21.35,5.7,1941.84,Low,White
Cactus,107.97,1.16,23.93,7.18,1095.17,Low,Nitsch
Mango,24.24,0.73,16.59,6.66,1572.36,High,White
Tomato,187.74,1.71,27.05,6.98,1386.32,Medium,B5
Wheat,43.87,0.71,26.74,6.33,2179.67,Low,White
Wheat,56.02,0.96,22.18,6.75,2843.58,High,B5
Cactus,79.34,1.78,27.26,6.4,1510.01,High,Gamborg
Apple,64.02,0.21,15.84,6.03,2157.83,Medium,White
Tomato,118.3,1.9,20.82,5.4,1796.3,Medium,Nitsch
Wheat,52.88,0.39,25.82,5.19,2828.88,Low,Gamborg
Tulip,51.61,0.47,18.85,5.03,1549.58,High,Gamborg
Rose,330.15,1.83,28.5,6.31,3229.01,Low,Murashige & Skoog
Wheat,29.35,0.74,27.0,5.87,1345.22,Medium,Nitsch
Orchid,359.52,3.0,17.11,5.54,4295.34,Medium,White
Rose,249.66,1.86,19.08,5.42,4436.92,Medium,Gamborg
Tulip,74.27,0.76,17.07,7.42,2642.06,Low,B5
Fern,21.78,0.51,19.02,7.11,1627.15,Low,Gamborg
Rose,317.98,3.04,24.33,5.99,4536.41,Medium,Murashige & Skoog
Bamboo,118.62,1.54,27.48,6.65,1698.32,Medium,White
Apple,93.95,0.41,16.6,6.23,2536.94,Medium,Nitsch
Tomato,86.41,2.48,17.96,6.44,2850.53,High,Murashige & Skoog
Wheat,95.27,0.9,18.22,6.59,2521.78,High,Gamborg
Mango,78.94,0.4,17.63,6.05,2587.67,High,B5
Mango,33.11,0.13,21.15,5.27,2811.98,Low,B5
Bamboo,190.68,1.58,26.53,5.22,1422.32,Low,Murashige & Skoog
Apple,32.76,0.57,15.22,5.66,2028.06,Medium,Nitsch
Orchid,380.21,2.31,17.04,5.59,4552.34,Medium,Murashige & Skoog
Bamboo,114.38,1.11,18.85,6.48,1031.47,Low,Nitsch
Bamboo,149.21,0.56,16.25,5.73,2755.61,High,Nitsch
Apple,51.43,0.43,20.3,6.59,2502.55,Medium,Gamborg
Bamboo,182.33,1.65,20.97,5.91,1024.25,High,Nitsch
Wheat,74.69,0.64,28.75,5.13,1310.55,High,Murashige & Skoog
Fern,20.65,1.0,26.81,6.02,2646.69,High,Nitsch
Orchid,344.56,1.34,24.34,5.02,3086.91,Low,B5
Cactus,160.39,2.18,29.24,7.17,1966.62,High,White
Wheat,23.94,0.86,22.82,7.33,2612.03,Medium,Murashige & Skoog
Cactus,114.17,0.89,28.66,5.44,1572.12,Medium,Murashige & Skoog
Tomato,136.97,0.84,18.92,6.24,1836.75,High,Nitsch
Orchid,320.32,3.3,27.33,6.41,4928.78,High,Murashige & Skoog
Tulip,35.11,0.26,23.29,5.54,1400.7,Medium,Gamborg
Rose,318.88,1.4,25.77,6.7,4661.84,Low,White
Bamboo,112.15,1.45,21.17,7.32,1687.06,High,Nitsch
Tulip,91.92,0.67,23.7,5.93,1036.68,Medium,Gamborg
Apple,23.49,0.34,29.22,5.92,2815.36,Low,White
Orchid,281.48,3.46,22.98,5.23,3890.04,High,Gamborg
Orchid,350.57,4.57,27.35,5.26,3454.9,High,Murashige & Skoog
Wheat,19.77,0.53,25.16,7.19,2498.43,Low,Nitsch
Mango,85.33,0.17,16.37,6.07,1269.6,Medium,Nitsch
Rose,232.04,3.05,25.09,5.97,3502.62,High,Gamborg
Tulip,75.09,0.82,26.88,7.44,2573.33,High,B5
Rose,100.06,2.45,26.06,6.5,3355.14,Medium,White
Rose,119.99,4.9,29.35,5.15,3886.51,Medium,Gamborg
Rose,349.05,4.8,24.51,5.88,4206.65,Medium,Murashige & Skoog
Wheat,95.79,0.65,18.3,6.2,2350.81,Medium,Murashige & Skoog
Tomato,98.77,1.44,27.28,5.31,2715.31,Low,B5
Apple,45.77,0.3,20.6,5.83,1352.31,Medium,Gamborg
Tomato,179.86,0.56,24.66,6.91,2518.97,High,Nitsch
Fern,75.61,0.94,19.99,6.26,1028.16,Medium,White
Cactus,194.91,1.71,26.24,7.34,2183.2,High,B5
Apple,35.12,0.62,18.03,5.68,2009.28,High,B5
Orchid,387.81,1.83,19.67,6.92,4733.53,Medium,White
Orchid,142.23,1.9,23.37,6.91,4238.7,Low,Nitsch
Tomato,53.82,1.79,28.39,7.21,2399.09,High,White
Bamboo,128.74,1.45,21.71,6.94,2053.54,Low,Nitsch
Cactus,88.72,0.58,23.75,5.57,1296.27,Low,Nitsch
Bamboo,125.54,2.29,29.05,7.02,2271.19,Medium,Nitsch
Fern,21.61,0.57,24.5,6.45,1518.48,Medium,B5
Apple,41.32,0.75,26.5,6.04,1033.82,Low,B5
Bamboo,163.59,0.95,18.32,5.4,1743.99,Low,Nitsch
Bamboo,107.42,1.68,25.81,5.6,1336.28,High,B5
Mango,98.33,0.4,25.55,5.56,1522.4,Low,Gamborg
Tomato,145.0,1.42,23.34,5.71,1048.48,Low,Nitsch
Rose,151.51,1.41,24.19,5.24,4508.56,High,Nitsch
Rose,174.81,4.56,25.78,5.18,4642.25,Medium,Murashige & Skoog
Wheat,28.07,0.2,21.6,5.31,1972.89,Low,Nitsch
Mango,15.87,0.38,19.32,7.29,2735.56,Low,White
Bamboo,166.97,2.07,22.79,7.14,1782.76,Medium,Nitsch
Wheat,31.62,0.35,15.8,6.99,1834.11,Medium,Gamborg
Orchid,139.34,2.82,27.16,7.07,3823.13,Medium,Gamborg
Mango,21.31,0.48,20.17,6.25,1915.26,Medium,Gamborg
Apple,56.18,0.32,17.76,5.16,2525.31,Medium,Gamborg
Mango,49.57,0.5,21.16,6.35,1500.89,Medium,Nitsch
Tomato,177.37,2.25,17.56,5.34,2260.8,Low,Nitsch
Bamboo,152.0,0.67,21.91,6.86,2971.61,High,Nitsch
Tomato,86.73,1.93,23.97,5.53,2702.22,Low,Nitsch
Apple,75.06,0.68,25.93,6.2,2010.45,Low,B5
Wheat,73.02,0.55,17.49,6.76,1583.16,Medium,Gamborg
Cactus,194.75,1.02,15.28,6.36,2413.58,High,Nitsch
Rose,158.12,2.05,22.69,5.83,4721.02,High,Nitsch
Tomato,169.94,1.66,26.6,5.83,2662.83,High,Nitsch
Tulip,29.26,0.53,19.77,5.67,2933.97,Medium,White
Apple,11.79,0.73,18.79,5.1,1805.78,Low,B5
Wheat,62.91,0.55,28.1,5.21,2363.05,High,Murashige & Skoog
Orchid,377.86,1.35,29.32,7.3,3108.0,Medium,Nitsch
Tulip,80.12,0.75,22.45,5.1,2168.54,Low,B5
Cactus,104.07,1.36,21.14,5.94,2851.06,Low,Nitsch
Orchid,132.44,2.71,16.48,6.55,3287.38,High,Nitsch
Fern,89.48,0.62,20.31,7.05,2565.02,Low,Nitsch
Fern,32.59,0.76,27.09,5.7,1735.97,Medium,B5
Apple,91.72,0.31,28.62,5.77,2952.83,Low,Murashige & Skoog
Cactus,78.92,1.28,29.1,6.07,2109.39,Low,Murashige & Skoog
Wheat,48.05,0.82,18.81,6.06,2573.1,High,B5
Tulip,83.12,0.37,23.26,5.73,2226.89,Low,B5
Tomato,74.96,2.07,18.75,6.04,1700.94,Medium,B5
Apple,22.79,0.73,28.58,6.09,1976.18,Medium,B5
Bamboo,80.19,1.07,26.48,6.18,1634.71,Low,B5
Mango,19.03,0.67,28.2,7.22,2915.33,Low,Murashige & Skoog
Fern,50.33,0.41,20.07,7.02,1249.01,High,Murashige & Skoog
